module_tag,count
et_pb_section,877
et_pb_column,876
et_pb_row,826
et_pb_text,506
dipl_double_color_heading,369
dipl_button,295
dipl_button_item,294
et_pb_image,134
et_pb_blurb,122
dipl_separator,113
et_pb_heading,96
dipl_floating_image,72
dipl_floating_image_item,72
dipl_text_animator,64
dipl_fancy_text,63
et_pb_social_media_follow,63
et_pb_social_media_follow_network,63
et_pb_divider,51
et_pb_column_inner,51
et_pb_row_inner,51
dipl_image_mask,47
dipl_tilt_image,43
dipl_flipbox,41
dipl_woo_products_categories,41
dipl_timeline,37
dipl_timeline_item,37
et_pb_countdown_timer,29
dipl_image_card,28
dipl_image_mask_item,27
dipl_testimonial_slider,26
et_pb_code,26
dipl_interactive_image_card,25
dipl_woo_products,25
dipl_text_highlighter,22
dipl_modal,20
dipl_blog_slider,20
dipl_list,20
dipl_list_item,20
et_pb_number_counter,19
dipl_logo_slider,19
dipl_logo_slider_item,19
dipl_form_styler,19
et_pb_menu,19
dipl_woo_products_carousel,18
dipl_ajax_search,17
dipl_masonry_gallery,17
dipl_faq_page_schema,16
dipl_faq_page_schema_item,16
dipl_price_list,15
dipl_price_list_item,15
dipl_business_hours,14
dipl_business_hours_item,14
et_pb_button,14
dipl_bar_counter,12
et_pb_contact_field,12
et_pb_contact_form,12
dipl_team_grid,12
et_pb_signup,12
dipl_team_slider,12
dipl_image_card_carousel,11
dipl_image_card_carousel_item,11
dipl_promotion_bar,11
et_pb_icon,11
dipl_tabs,10
dipl_tabs_item,10
dipl_mystery_image,10
dipl_woo_products_accordion,9
dipl_image_accordion,9
dipl_image_accordion_item,9
dipl_posts_ticker,8
dipl_star_rating,8
dipl_hero_slider,5
dipl_hero_slider_item,5
dipl_background_switcher,5
dipl_background_switcher_item,5
dipl_rotating_text,5
et_pb_cta,5
dipl_horizontal_scrolling_card,5
dipl_horizontal_scrolling_card_item,5
et_pb_video,5
dipl_content_toggle,5
dipl_before_after_slider,5
dipl_image_stack,5
dipl_image_stack_item,5
dipl_marquee_text,5
dipl_scroll_text,5
dipl_testimonial_grid,4
et_pb_wc_price,3
dipl_hotspot,3
dipl_hotspot_item,3
et_pb_search,2
dipl_woo_product_gallery,2
et_pb_wc_add_to_cart,2
et_pb_wc_title,2
et_pb_pricing_table,2
et_pb_pricing_tables,2
dipl_facebook_embedded_video,1
et_pb_accordion,1
et_pb_accordion_item,1
et_pb_gallery,1
et_pb_map,1
et_pb_wc_description,1
et_pb_sidebar,1
dipl_image_card_ticker,1
et_pb_fullwidth_header,1
et_pb_fullwidth_image,1
et_pb_counter,1
et_pb_counters,1
et_pb_blog,1
